A A Mamun : professor, nuclear physicist, biochemist
A'Lelia Bundles : short story writer, autobiographer, memoirist
A. Aiyappan : indologist, founder, orientalist
A. B. Spellman : short story writer, autobiographer, memoirist
A. Bernard Ackerman : pseudoscientist, pathologist, intellectual historian
A. C. Grayling : essayist, philosopher, autobiographer
A. C. Schweinfurth : explorer, essayist, autobiographer
A. C. Spearing : autobiographer, memoirist, biographer
A. D. Miles : producer, fictional scientist, singer-songwriter
A. D. Walsh : chemist, physical chemist, neuroscientist
A. Dane Bowen, Jr. : autobiographer, biographer, memoirist
A. Dean Byrd : psychologist, autobiographer, social sciences writer
A. E. Douglass : short story writer, autobiographer, essayist
A. E. Levett : autobiographer, biographer, antiquarian
A. E. Wilder-Smith : pseudoscientist, cognitive scientist, science writer
A. Elizabeth Adams : physiologist, medical researcher, neuroscientist
A. G. Heaton : short story writer, pseudoscientist, autobiographer
A. G. L. Shaw : autobiographer, memoirist, biographer
A. Gilbert Wright : national academy, short story writer, science writer
A. H. Almaas : cognitive scientist, psychologist, philosopher
A. H. Heisey : autobiographer, philanthropist, short story writer
A. H. Tiltman : aviator, inventor, er
A. H. de Oliveira Marques : philosopher, geographer, philologist
A. Harding Steerman : short story writer, novelist, playwright
A. Hays Town : short story writer, executive office, architect
A. Hunter Dupree : intellectual historian, science writer, autobiographer
A. I. Sabra : intellectual historian, philosopher, scholar
A. I. Shlyakhter : marine, criminal, military officer
A. J. A. Symons : short story writer, novelist, essayist
A. J. Bakunas : musical theatre actress, short story writer, autobiographer
A. J. Benza : short story writer, producer, fictional scientist
A. J. Bowen : fictional scientist, short story writer, autobiographer
A. J. Buckley : fictional scientist, video game actor, producer
A. J. Cook : fictional scientist, actres, autobiographer
A. J. Cronin : novelist, short story writer, biographer
A. J. Jacobs : short story writer, autobiographer, novelist
A. J. Langer : short story writer, fictional scientist, actres
A. J. Langguth : short story writer, novelist, autobiographer
A. J. P. Taylor : autobiographer, biographer, memoirist
A. J. Thomas : short story writer, autobiographer, biographer
A. K. Hangal : telugu actor, film director, director
A. K. Warder : indologist, orientalist, intellectual historian
A. Karunakaran : telugu actor, film director, producer
A. Ledyard Smith : social sciences writer, explorer, anthropologist
A. M. T. Jackson : autobiographer, revolutionary, indologist
A. Michael Baldwin : fictional scientist, producer, fictional pseudoscientist
A. N. Wilson : novelist, biographer, short story writer
A. N. Yiannopoulos : legal scholar, social sciences writer, philosopher
A. O. L. Atkin : cognitive scientist, systems scientist, inventor
A. P. Balachandran : theoretical physicist, physicist, mathematician
A. P. Elkin : explorer, autobiographer, biographer
A. Page Brown : architect, landscape architect, short story writer
A. Quincy Jones : architect, executive office, landscape architect
A. R. Rahman : autobiographer, record producer, musician
A. R. Raja Raja Varma : scholar, diarist, indologist
A. Ronald Gallant : systems scientist, business theorist, econometrician
A. Ronald Walton : essayist, autobiographer, short story writer
A. Ross Eckler, Jr. : autobiographer, memoirist, statistician
A. S. Jayawardene : prime minister, economist, president
A. Scott Berg : short story writer, novelist, autobiographer
A. T. Hill : autobiographer, explorer, short story writer
A. T. Mann : pseudoscientist, astrologer, short story writer
A. T. Q. Stewart : autobiographer, biographer, novelist
A. Tom Grunfeld : social sciences writer, autobiographer, communication scholar
A. V. Dicey : prime minister, autobiographer, memoirist
A. V. M. Rajan : telugu actor, comedian, film director
A. V. Ramanan : autobiographer, fictional scientist, playwright
A. W. Andrews : short story writer, horticulturists and gardener, novelist
A. W. F. Fuller : diarist, folklorist, autobiographer
A. Walton Litz : essayist, short story writer, novelist
A. Wayne Wymore : systems scientist, business theorist, cognitive scientist
A.B. Imeson : silent film actor, autobiographer, silent film actress
A.B.C. Whipple : autobiographer, biographer, novelist
A.C. Greene, Jr. (author) : short story writer, essayist, children's writer
A.E. Walsby : biochemist, biologist, neuroscientist
A.F. Salahuddin Ahmed : indologist, scholar, autobiographer
A.G. Bauer : autobiographer, architect, short story writer
A.J. Timothy Jull : social sciences writer, pseudoscientist, geologist
A.J. Trauth : actres, video game actor, producer
A.K. Nazmul Karim : founder, orientalist, president
A.V. Balakrishnan : systems scientist, social sciences writer, computer scientist
A.V. Bramble : novelist, autobiographer, biographer
AJ Lee : professional wrestler, fictional scientist, autobiographer
AJ Taylor : historian, medical doctor, antiquarian
AR Fox : professional wrestler, martial artist, fictional scientist
Aad Knutsson Gjelle : publisher, meteorologist, sinologist
Aad Nuis : essayist, diarist, autobiographer
Aadesh Bandekar : telugu actor, producer, director
Aadesh Chaudhary : soap opera actress, soap opera actor, telugu actor
Aadhi (actor) : telugu actor, comedian, film producer
Aadi (Telugu actor) : telugu actor, producer, autobiographer
Aafia Siddiqui : autobiographer, prime minister, memoirist
Aage Bohr : nuclear physicist, physicist, theoretical physicist
Aage Foss : playwright, actor, producer
Aage Redal : silent film actor, silent film actress, film actor
Aage Skavlan : memoirist, autobiographer, biographer
Aagot Nissen : biographer, playwright, silent film actress
Aagot Raaen : short story writer, autobiographer, novelist
Aakash Pandey : film director, filmmaker, soap opera actor
Aaldert Wapstra : physicist, nuclear physicist, cognitive scientist
Aale Tynni : folklorist, novelist, autobiographer
Aaliyah : record producer, singer-songwriter, songwriter
Aamani : telugu actor, director, producer
Aamina Sheikh : film actress, television actress, film actor
Aamir Bashir : autobiographer, film director, soap opera actor
Aamir Khan : director, producer, autobiographer
Aamir Raza Husain : autobiographer, producer, scholar
Aamna Sharif : soap opera actress, soap opera actor, television actress
Aanaahad : filmmaker, producer, comedian
Aanchal Kumar : model, autobiographer, soap opera actor
Aanchal Munjal : soap opera actor, telugu actor, television actor
Aanjjan Srivastav : film director, director, producer
Aarani Satyanarayana : telugu actor, film producer, director
Aarathi : telugu actor, producer, film actor
Aari (actor) : producer, director, short story writer
Aarif Rahman : record producer, singer-songwriter, singer
Aarno Sulkanen : short story writer, opera singer, film producer
Aaron Aaronsohn : autobiographer, prime minister, memoirist
Aaron Abrams : musical theatre actor, fictional scientist, singer-songwriter
Aaron Aguilera : professional wrestler, record producer, fictional scientist
Aaron Ashmore : fictional scientist, actres, producer
Aaron Augenblick : musical theatre actor, producer, short story writer
Aaron Aziz : singer, actress, television actor
Aaron Berkman : editor, essayist, executive office
Aaron D. Spears : video game actor, musical theatre actor, actres
Aaron Douglas (actor) : fictional scientist, video game actor, actres
Aaron Eckhart : producer, short story writer, actres
Aaron Edlin : social sciences writer, economics writer, international relations scholar
Aaron Fa'aoso : comedian, soap opera actor, video game actor
Aaron Frazier : short story writer, fictional scientist, novelist
Aaron Hill (actor) : video game actor, musical theatre actor, fictional scientist
Aaron Jackson (actor) : actres, fictional scientist, novelist
Aaron Jeffery : actres, soap opera actor, fictional scientist
Aaron Klug : molecular biologist, biochemist, chemist
Aaron Krogman : educator, stock car racing driver, martial artist
Aaron Lawrence (entrepreneur) : autobiographer, short story writer, novelist
Aaron Lazar : musical theatre actor, musical theatre actress, producer
Aaron Lohr : producer, songwriter, actres
Aaron Lustig : fictional scientist, actres, producer
Aaron McGruder : producer, autobiographer, fictional scientist
Aaron Meeks : actres, producer, rapper
Aaron Paul : actres, producer, fictional scientist
